dataset_id,stage,asset_class,instrument,frequency,source,path,format,file_count,total_bytes,row_count,start_date,end_date,columns,canonical_role,quality_status,overlap_key,overlaps_with,notes
raw_dhan_banknifty_week_expiry_code_1_put_atmm9,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMm9,json,61,87365905,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMm9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp1,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp1,json,61,89205441,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp10,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp10,json,61,87762576,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp10; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp2,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp2,json,61,88985114,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp2; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp3,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp3,json,61,88724113,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp3; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp4,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp4,json,61,88457872,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp4; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp5,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp5,json,61,88172117,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp5; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp6,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp6,json,61,87932997,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp6; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp7,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp7,json,61,87688987,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp7; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp8,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp8,json,61,87460070,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp8; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmp9,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMp9,json,61,87355744,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMp9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atm,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATM,json,61,81908114,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATM; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm1,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm1,json,61,77642693,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm10,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm10,json,61,54122290,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm10; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm2,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm2,json,61,75257881,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm2; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm3,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm3,json,61,72268468,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm3; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm4,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm4,json,61,70160319,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm4; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm5,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm5,json,61,67523994,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm5; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm6,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm6,json,61,65293379,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm6; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm7,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm7,json,61,62505492,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm7; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm8,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm8,json,61,59675609,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm8; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmm9,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMm9,json,61,56043127,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp1,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp1,json,61,80911617,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp10,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp10,json,61,75280845,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp10; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp2,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp2,json,61,81092947,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp2; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp3,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp3,json,61,81128940,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp3; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp4,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp4,json,61,80420640,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp4; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp5,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp5,json,61,79804837,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp5; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp6,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp6,json,61,79499220,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp6; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp7,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp7,json,61,78286395,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp7; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp8,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp8,json,61,77438023,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp8; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_call_atmp9,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/call/ATMp9,json,61,76634157,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_put_atm,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/put/ATM,json,61,80859391,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATM; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_put_atmm1,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/put/ATMm1,json,61,79703268,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMm1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_finnifty_week_expiry_code_1_put_atmm10,raw,index_options,FINNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/finnifty/week/expiry_code_1/put/ATMm10,json,61,77608982,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|FINNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMm10; contains OHLCV/OI/IV/spot when API returned data.
