strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStrangle,2024-04-10,2024-04-10 09:20:00,2024-04-10 10:25:00,entry,target,"SELL:NIFTY10APR24CE22800@13.85,SELL:NIFTY10APR24PE22600@27.55",1032.5,99.37,933.13
ShortStrangle,2024-04-18,2024-04-18 09:20:00,2024-04-18 09:44:00,entry,stop_loss,"SELL:NIFTY18APR24CE22350@11.8,SELL:NIFTY18APR24PE22150@15.9",-1315.0,98.96,-1413.96
ShortStrangle,2024-04-25,2024-04-25 09:20:00,2024-04-25 10:13:00,entry,stop_loss,"SELL:NIFTY25APR24CE22450@16.6,SELL:NIFTY25APR24PE22250@23.4",-1095.0,100.51,-1195.51
ShortStrangle,2024-05-02,2024-05-02 09:20:00,2024-05-02 12:47:00,entry,target,"SELL:NIFTY02MAY24CE22750@27.15,SELL:NIFTY02MAY24PE22550@28.5",1445.0,101.05,1343.95
ShortStrangle,2024-05-09,2024-05-09 09:20:00,2024-05-09 10:25:00,entry,stop_loss,"SELL:NIFTY09MAY24CE22400@25.75,SELL:NIFTY09MAY24PE22200@41.35",-1917.5,104.69,-2022.19
ShortStrangle,2024-05-16,2024-05-16 09:20:00,2024-05-16 10:21:00,entry,stop_loss,"SELL:NIFTY16MAY24CE22400@17.55,SELL:NIFTY16MAY24PE22200@31.5",-1295.0,101.85,-1396.85
ShortStrangle,2024-05-23,2024-05-23 09:20:00,2024-05-23 09:41:00,entry,stop_loss,"SELL:NIFTY23MAY24CE22700@29.9,SELL:NIFTY23MAY24PE22500@29.55",-1567.5,103.44,-1670.94
ShortStrangle,2024-05-30,2024-05-30 09:20:00,2024-05-30 12:59:00,entry,target,"SELL:NIFTY30MAY24CE22800@42.25,SELL:NIFTY30MAY24PE22600@50.75",2467.5,105.49,2362.01
ShortStrangle,2024-06-06,2024-06-06 09:20:00,2024-06-06 12:38:00,entry,target,"SELL:NIFTY06JUN24CE22750@86.75,SELL:NIFTY06JUN24PE22550@89.05",4455.0,115.48,4339.52
ShortStrangle,2024-06-13,2024-06-13 09:20:00,2024-06-13 11:08:00,entry,target,"SELL:NIFTY13JUN24CE23550@20.4,SELL:NIFTY13JUN24PE23350@31.95",1345.0,100.66,1244.34
ShortStrangle,2024-06-20,2024-06-20 09:20:00,2024-06-20 10:32:00,entry,target,"SELL:NIFTY20JUN24CE23600@32.15,SELL:NIFTY20JUN24PE23400@50.1",2095.0,104.25,1990.75
ShortStrangle,2024-06-27,2024-06-27 09:20:00,2024-06-27 12:15:00,entry,stop_loss,"SELL:NIFTY27JUN24CE23950@32.5,SELL:NIFTY27JUN24PE23750@36.55",-2270.0,105.18,-2375.18
ShortStrangle,2024-07-04,2024-07-04 09:20:00,2024-07-04 10:57:00,entry,target,"SELL:NIFTY04JUL24CE24450@19.1,SELL:NIFTY04JUL24PE24250@28.4",1240.0,100.08,1139.92
ShortStrangle,2024-07-11,2024-07-11 09:20:00,2024-07-11 12:04:00,entry,stop_loss,"SELL:NIFTY11JUL24CE24450@16.85,SELL:NIFTY11JUL24PE24250@19.7",-2057.5,100.63,-2158.13
ShortStrangle,2024-07-18,2024-07-18 09:20:00,2024-07-18 09:50:00,entry,stop_loss,"SELL:NIFTY18JUL24CE24650@20.1,SELL:NIFTY18JUL24PE24450@18.8",-1627.5,100.69,-1728.19
ShortStrangle,2024-07-25,2024-07-25 09:20:00,2024-07-25 10:11:00,entry,target,"SELL:NIFTY25JUL24CE24350@25.25,SELL:NIFTY25JUL24PE24150@47.0",1805.0,103.07,1701.93
ShortStrangle,2024-08-01,2024-08-01 09:20:00,2024-08-01 10:10:00,entry,target,"SELL:NIFTY01AUG24CE25150@24.75,SELL:NIFTY01AUG24PE24950@26.8",1342.5,100.56,1241.94
ShortStrangle,2024-08-08,2024-08-08 09:20:00,2024-08-08 13:40:00,entry,target,"SELL:NIFTY08AUG24CE24300@55.65,SELL:NIFTY08AUG24PE24100@51.4",2827.5,107.16,2720.34
ShortStrangle,2024-08-14,2024-08-14 09:20:00,2024-08-14 10:28:00,entry,target,"SELL:NIFTY14AUG24CE24250@26.85,SELL:NIFTY14AUG24PE24050@29.6",1410.0,101.18,1308.82
