file,schema,nifty_option_rows,no_trade_rows,active_rows,true_bad_ohlc,duplicates,error
20090915.csv,legacy,748,557,191,0,0,
20090916.csv,legacy,762,579,183,0,0,
20090917.csv,legacy,776,586,190,0,0,
20090918.csv,legacy,776,584,192,0,0,
20090922.csv,legacy,776,592,184,0,0,
20090923.csv,legacy,776,594,182,0,0,
20090924.csv,legacy,776,624,152,0,0,
20090925.csv,legacy,682,544,138,0,0,
20090929.csv,legacy,682,572,110,0,0,
20090930.csv,legacy,682,540,142,0,0,
20091001.csv,legacy,696,549,147,0,0,
20091005.csv,legacy,696,561,135,0,0,
20091006.csv,legacy,696,550,146,0,0,
20091007.csv,legacy,696,546,150,0,0,
20091008.csv,legacy,696,550,146,0,0,
20091009.csv,legacy,696,548,148,0,0,
20091012.csv,legacy,698,549,149,0,0,
20091014.csv,legacy,698,550,148,0,0,
20091015.csv,legacy,698,549,149,0,0,
20091016.csv,legacy,698,553,145,0,0,
20091020.csv,legacy,698,546,152,0,0,
20091021.csv,legacy,698,544,154,0,0,
20091022.csv,legacy,698,529,169,0,0,
20091023.csv,legacy,698,536,162,0,0,
20091026.csv,legacy,698,535,163,0,0,
20091027.csv,legacy,698,533,165,0,0,
20091028.csv,legacy,700,525,175,0,0,
20091029.csv,legacy,700,515,185,0,0,
20091030.csv,legacy,686,527,159,0,0,
20091103.csv,legacy,690,540,150,0,0,
20091104.csv,legacy,694,551,143,0,0,
20091105.csv,legacy,694,542,152,0,0,
20091106.csv,legacy,694,545,149,0,0,
20091109.csv,legacy,694,545,149,0,0,
20091110.csv,legacy,696,537,159,0,0,
20091111.csv,legacy,696,544,152,0,0,
20091112.csv,legacy,698,545,153,0,0,
20091113.csv,legacy,698,542,156,0,0,
20091116.csv,legacy,698,390,308,0,0,
20091117.csv,legacy,700,484,216,0,0,
20091118.csv,legacy,700,527,173,0,0,
20091119.csv,legacy,700,537,163,0,0,
20091120.csv,legacy,700,541,159,0,0,
20091123.csv,legacy,700,529,171,0,0,
